TemporalComplexModel(
  (lstm): LSTM(1, 128, num_layers=4, batch_first=True)
  (encoder): EncoderLayer(
    (linear1): Linear(in_features=2, out_features=128, bias=True)
    (relu): ReLU()
    (linear2): Linear(in_features=128, out_features=128, bias=True)
  )
  (fc): NeuralNetwork(
    (input_ff): Linear(in_features=256, out_features=128, bias=True)
    (hidden): Sequential(
      (0): ReLuBlock(
        (ff): Sequential(
          (0): Linear(in_features=128, out_features=128, bias=True)
          (1): ReLU()
        )
      )
      (1): ReLuBlock(
        (ff): Sequential(
          (0): Linear(in_features=128, out_features=128, bias=True)
          (1): ReLU()
        )
      )
      (2): ReLuBlock(
        (ff): Sequential(
          (0): Linear(in_features=128, out_features=128, bias=True)
          (1): ReLU()
        )
      )
    )
    (output): Linear(in_features=128, out_features=1, bias=True)
  )
)
Time For 10 Sequences of Generation: 10.609861135482788  With MSE: tensor(0.0006, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.491902351379395  With MSE: tensor(0.0011, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.479864835739136  With MSE: tensor(0.0016, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.47980546951294  With MSE: tensor(0.0020, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.476734638214111  With MSE: tensor(0.0024, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.481017112731934  With MSE: tensor(0.0029, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.474586725234985  With MSE: tensor(0.0034, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.473838567733765  With MSE: tensor(0.0035, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.48129677772522  With MSE: tensor(0.0040, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.473686933517456  With MSE: tensor(0.0045, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.476175785064697  With MSE: tensor(0.0050, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.477274656295776  With MSE: tensor(0.0054, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.480623483657837  With MSE: tensor(0.0058, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.485891342163086  With MSE: tensor(0.0062, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.485819816589355  With MSE: tensor(0.0065, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.481430530548096  With MSE: tensor(0.0069, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.489779710769653  With MSE: tensor(0.0073, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.478931188583374  With MSE: tensor(0.0074, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.472234964370728  With MSE: tensor(0.0078, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.459388256072998  With MSE: tensor(0.0082, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.462083578109741  With MSE: tensor(0.0086, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.457922458648682  With MSE: tensor(0.0090, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.460782527923584  With MSE: tensor(0.0095, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.455767154693604  With MSE: tensor(0.0099, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.457531213760376  With MSE: tensor(0.0104, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.45759892463684  With MSE: tensor(0.0109, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.45871615409851  With MSE: tensor(0.0113, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.450543642044067  With MSE: tensor(0.0115, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.449869155883789  With MSE: tensor(0.0119, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.451919317245483  With MSE: tensor(0.0124, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.452354431152344  With MSE: tensor(0.0128, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.454751968383789  With MSE: tensor(0.0133, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.453065395355225  With MSE: tensor(0.0138, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.456928730010986  With MSE: tensor(0.0143, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.456482172012329  With MSE: tensor(0.0148, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.45597505569458  With MSE: tensor(0.0153, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.456401824951172  With MSE: tensor(0.0158, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.463754415512085  With MSE: tensor(0.0159, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.46104621887207  With MSE: tensor(0.0164, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.464763402938843  With MSE: tensor(0.0168, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.46612548828125  With MSE: tensor(0.0173, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.465046644210815  With MSE: tensor(0.0177, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.468875408172607  With MSE: tensor(0.0182, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.457897663116455  With MSE: tensor(0.0187, dtype=torch.float64)
Time For 10 Sequences of Generation: 10.462188482284546  With MSE: tensor(0.0191, dtype=torch.float64)
